,ground_truth,trial,sample_size,param1,param2,param3,param4,param5,param6,linear_MAE_train,five_poly_MAE_train,eight_poly_MAE_train,best_model_MAE_train,linear_MSE_train,five_poly_MSE_train,eight_poly_MSE_train,best_model_MSE_train,linear_MAE,five_poly_MAE,eight_poly_MAE,best_model_MAE,linear_MSE,five_poly_MSE,eight_poly_MSE,best_model_MSE,linear_TSE,five_poly_TSE,eight_poly_TSE,best_model_TSE,ymin,ymax,x_train,y_train,x_test,y_test
0,linear,1,10,-1.6595599059485195,4.4064898688431615,,,,,0.15198403523022466,0.08779021656110715,0.019647009090260927,eight_poly,0.03724643964222615,0.012787625307725634,0.0007159256536978132,eight_poly,0.2089563991949189,0.24155491142925906,0.263956675439837,linear,0.06855056475663321,0.0902737802670502,0.10847485639609156,linear,0.06648757240550958,0.0792164768044828,0.07612558403405663,linear,-8814.639297592272,8811.320177780373,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.07820682 0.09425415 0.19329958 0.41350052 0.19289464 0.5863817
 0.99828388 0.82439993 0.64648556 0.52809276]","[-999.77125037 -963.42344531 -961.26608426 -945.2248136  -921.89043353
 -829.91157726 -815.32281046 -803.30633233 -793.54798684 -739.94285576
 -719.22612281 -706.48821837 -660.33916087 -627.47957724 -603.79702183
 -591.09550054 -439.11201587 -424.44932283 -412.77170325 -395.33485474
 -373.15164368 -368.96873799 -308.87854591 -206.46505154 -165.39039527
 -161.61097119 -157.78474999 -104.21294765   66.33056995   77.63346801
  117.37965689  340.93502036  357.67106588  370.43900079  373.00185536
  383.7542279   384.64523134  496.33130876  500.28862989  578.5586569
  601.48913735  669.25134379  752.77830459  756.23487278  756.28500686
  789.21332701  817.19100619  915.7790603   936.52315144  977.72217781]","[0.06326761 0.68225779 0.27238542 0.10444488 0.31725626 0.81758589
 0.32620904 0.45347419 0.37665558 0.22695182 0.03456392 0.23604226
 0.28269165 0.4897859  0.5587966  0.58500165 0.46161883 0.61517296
 0.20820759 0.71438333 0.53494454 0.33323461 0.5449099  0.42949081
 0.74155975 0.83955146 1.00694766 0.12482268 0.15555419 0.3932919
 0.56935418 0.80427599 0.6683265  0.08705945 0.51669946 0.80293222
 0.65368499 0.81458562 0.56949012 0.59445015 0.69701263 0.76982575
 0.73776951 0.71881088 0.52140568 0.79169428 0.73475307 1.01131574
 1.03386026 0.79071965]"
1,linear,2,10,-7.516533697601777,-4.41632641977721,,,,,0.15290056959066148,0.09319837670729444,0.09177849794548239,eight_poly,0.03141159039036171,0.01606067984847493,0.015622729887045609,eight_poly,0.20017078756633236,0.2111183963759933,0.2134409316228618,linear,0.06293900882213306,0.07005875314210194,0.07150693967765798,linear,0.06286607116989666,0.06608062118493746,0.0671630746069461,linear,-8840.169373252022,8825.13630585682,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.44248547 0.83207882 0.83709061 0.42745065 0.65792186 0.18613687
 0.61713192 0.37275294 0.25891311 0.22456353]","[-974.88803968 -962.84759565 -962.70542125 -910.89624291 -880.16462098
 -867.33033114 -859.95571256 -856.05144062 -785.01174179 -757.31308852
 -727.08954868 -686.41721071 -609.14103778 -593.41353068 -548.58132278
 -534.05145232 -520.3044817  -495.34851086 -470.16088467 -365.27518136
 -259.83160417 -239.71765475 -224.27871187  -27.30977813  -12.46057146
  101.89643824  112.48046798  119.43396411  122.06043851  136.20092384
  137.70287417  159.49043849  162.71785455  171.51854292  212.65892331
  239.91143676  338.46578691  425.97796077  487.65170815  490.66886181
  494.24328547  601.26534536  614.21039124  657.9617991   693.65760298
  727.08370912  934.55266     939.19149664  940.03997818  977.23230882]","[ 0.96094355  0.92831481  0.87304269  0.76214936  0.73949644  0.87142765
  0.77311257  0.88465071  0.61872374  0.08061883  0.94147854  1.21834921
  0.76262637  0.62331457  0.60303414  0.60374932  0.63442847  0.34333245
  0.48826661  0.34206209  0.62715769  0.48576913  0.67987251  0.46315165
  0.74969894  0.52790937  1.01955482 -0.00394872  0.30775572  0.69132149
  1.09765571  0.3979687   0.47023778  0.4005418   0.77969955  0.36819517
  0.58540101  0.31355511  0.05994738  0.45571971  0.50223538  0.67299013
  0.31883565  0.18116903  0.46727587  0.37841335  0.3365281   0.24692395
  0.55507465  0.3480651 ]"
2,linear,3,10,1.4942300941620452,2.561523966147007,,,,,0.16508628261764874,0.09248234891889538,0.022165236942402418,eight_poly,0.0383996286672375,0.014118535015624073,0.0009112127521522483,eight_poly,0.21243312045860874,0.23325777675312853,0.25412006888627037,linear,0.07079107148386933,0.0849397065860741,0.09995273061365102,linear,0.06822879921575764,0.07434710192051651,0.0754921769435015,linear,-5121.553702199852,5124.542162388176,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[-0.16854895  0.51181301  0.23655772  0.33892042  0.47174935  0.17862267
  0.36800424  0.80756677  0.84907923  0.63920702]","[-863.58130317 -840.7478446  -678.05712637 -636.77429734 -602.86022315
 -549.92008437 -495.26659699 -459.58347594 -428.84743661 -365.23210808
 -354.63800633 -314.62218409 -313.30752045 -309.65589769 -244.15164134
 -235.79449594 -197.04083306 -178.37730016 -146.5979813  -139.50545836
  -98.25212717  -68.58024282  -66.23995447   38.02325493   55.42929262
  137.71598141  138.98882549  144.97703438  173.66668131  243.83873584
  325.43962475  341.57758158  355.60178287  376.82650477  396.11449689
  466.28505058  500.04352741  510.16437694  541.767821    595.27760792
  604.32216801  623.71739544  709.79588539  716.62767286  728.95886011
  749.92328991  759.99657713  807.68391165  947.60415585  965.63422746]","[ 0.7367384  -0.03661869  0.24423892  0.28309649 -0.34898631  0.84690218
  0.46776635  0.12395679  0.9055815   0.55510747  0.51872203  0.26959485
  0.4482288   0.04116595  0.63771861  0.3474418   0.48425184  0.75591939
  0.53453753  0.5307405   0.54456179  0.29953704  0.69244119  0.89534559
  0.70355874  0.7556562   0.31542683  0.31929745  0.18319766  0.86902295
  0.51781494  0.93535538  0.39342253  0.48482938  0.6228849   0.84693378
  0.64019843  0.68032228  0.63957385  0.69311633  0.37196304  0.67616112
  0.63080422  0.6649508   0.80532385  0.51731129  0.66887214  0.62758051
  0.84122654  0.93760122]"
3,linear,4,10,3.81884284132337,-6.227263980893783,,,,,0.1483069427812182,0.09722341179308842,0.0421093626558791,eight_poly,0.039012916357776956,0.016532213995213287,0.003288761418917989,eight_poly,0.30657539729346833,0.33684779815514976,0.3836412733152618,linear,0.14417731358362845,0.17654361895982296,0.22804558124073662,linear,0.14072541447198994,0.12529035730230015,0.09749922865448576,eight_poly,-12450.709118946243,12458.346804628889,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.24069969 0.20879715 0.01227873 0.05479235 0.42486799 0.79185424
 0.30610935 0.44199295 0.27805768 0.25213724]","[-963.33471417 -944.78797609 -944.4333023  -935.35386675 -886.14112318
 -866.55000472 -843.22620029 -837.05207025 -781.96247196 -773.31615446
 -713.15390266 -592.18754953 -576.07967071 -557.13453135 -504.53419648
 -475.65383245 -465.85596063 -405.33723699 -315.09176031 -237.96775188
 -210.29903908 -142.76234267 -142.46245    -116.1914385   -86.04934513
  -82.83237258  -69.99703687   17.03248122   22.28295659   81.90360992
  163.15481469  186.86489893  252.99231725  267.57352122  393.60099224
  418.77450246  493.87699122  499.71662145  500.3448266   509.72296278
  532.42276215  597.20848952  605.92647475  607.921783    648.01974082
  687.68085786  691.70296606  895.09788279  918.86864212  979.50341533]","[ 0.69878397  0.69265191  0.85139935  0.4398428   0.97406708  0.94664198
  0.66204221  0.91061137  0.52015451  0.55902328  0.71735444  0.60049163
  0.53183541  0.47117162  0.48675987  0.85370564  0.13063314  0.6894579
  0.5196637   0.74144531  0.68134316 -0.15994303  0.68177727  0.61011642
  0.52697805  0.40353964  0.73081956  0.39248455  0.95310867  0.62061981
  0.99366831  0.25690028 -0.00222949  0.61180402  0.61477577  0.4041464
 -0.00816756  0.26309705  0.52941018  0.32652518  0.33789801  0.30683314
  0.11503972  0.21476447 -0.01864379  0.77006977  0.20823104  0.39562807
  0.01481135  0.45375621]"
4,linear,5,10,1.4843817768171945,-3.020248055584222,,,,,0.11454732546861486,0.06470149446707688,0.04958033576534062,eight_poly,0.01875917021073372,0.008172278178877767,0.004559255804124587,eight_poly,0.264238615165056,0.26023453790636325,0.25029559389462347,eight_poly,0.1054471120591883,0.10416362022342315,0.09739262996899191,eight_poly,0.0985489511467426,0.08733500329352877,0.07516583650158212,eight_poly,-6039.011729391626,6041.980492945262,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[1.05211408 0.9733699  0.84910428 0.55761153 0.81450287 0.45979658
 0.53332748 0.61953283 0.50776665 0.69743867]","[-978.22253239 -973.72728615 -954.16973736 -935.14734937 -886.07120103
 -869.25656992 -812.84580837 -750.35491378 -739.32843809 -724.67451811
 -664.0334136  -650.55969978 -559.53154768 -542.37265808 -374.99724302
 -360.09432384 -322.58394904 -293.98782892 -249.13033366  -96.53370262
  -85.19016782  -72.2844322   -62.74331451  -46.23533296  -15.85639701
   -5.49981328    9.0383394    38.03196815   38.16464442   47.79227133
  141.43170309  188.74524766  191.21586721  265.23163356  328.20511071
  337.46554041  347.69801603  460.18242218  509.78291412  516.55652095
  534.94973773  540.29991262  633.67021758  648.47567925  803.12516934
  945.57518387  950.70006854  951.97813666  968.76690039  993.50685042]","[ 0.85737664  0.32241683  0.44849991  1.07131354  0.63869701  0.81394893
  0.49034754  0.93780908  0.58862405  1.04569569  0.53294985  0.94217327
  0.80848191  0.45499519  0.86849839  0.36461496  0.37502919  0.75392478
  0.40594708  0.37567266  0.43532236  0.26802881  0.77693443  0.66368751
  0.48663193  0.47427694  0.61027929  0.93182578  0.70820129  0.36093765
  0.65899688  0.4231209   0.40244649  0.90030994  0.31321425  0.29583739
 -0.07495083  0.03437211  0.48533501  0.19713064  0.49511602  0.08620726
  0.14975499  0.50652376  0.6644418   0.4117244   0.56178269  0.68815401
  0.51783056  0.02201328]"
5,linear,6,10,8.906168799998994,-1.4887721947690622,,,,,0.14962843968214995,0.09078787283186893,0.047381073469306194,eight_poly,0.036536442431759214,0.014414712250274608,0.00416375171300152,eight_poly,0.21948176236105116,0.2415072990958316,0.26822717988219064,linear,0.07551824009980729,0.0914377564810992,0.11196179701820308,linear,0.07047805881163308,0.07643705968385436,0.07883730113692328,linear,-2968.6382207381257,2986.4505583381233,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[1.07655152 0.5432937  0.79803474 0.93564668 0.93300585 0.27067602
 0.35374811 0.4567899  0.23330622 0.15204594]","[-992.41265518 -960.44980097 -910.30933082 -887.71792068 -847.62238194
 -839.79271239 -786.83224642 -783.86934261 -735.67771611 -700.13703017
 -646.90193145 -645.67767112 -620.78810436 -615.49996636 -587.09188222
 -566.76558334 -476.90089633 -443.82990277 -399.83790815 -285.87678223
 -259.69164489 -209.80626222 -193.55905579  -11.76746821   15.84339989
   33.37756584   55.80795682   61.39487695  102.17434837  117.80762232
  144.81022487  413.9124905   433.85800338  445.83038711  457.70175504
  480.15508632  517.49386204  518.39209863  561.05911375  564.36363366
  574.23257931  575.10367931  670.54320498  715.79420908  720.47399485
  723.93311533  809.26200587  867.80521663  971.41764743  974.65234962]","[0.9191035  0.65175995 0.28059911 0.81239131 0.6057824  0.52706543
 0.30527352 0.94942295 0.12714127 0.25020086 0.59276397 0.96865831
 0.9826235  0.36512933 0.60236492 0.2640773  0.87202699 0.24181681
 0.56416054 0.82971514 0.5093194  0.91999165 0.33088771 0.59523948
 0.7093597  0.45672768 0.83262658 0.62168368 0.06509401 1.46019877
 0.62595835 0.4233577  0.04183229 0.40898436 0.27058885 0.54104964
 0.46354411 0.83365435 0.39529806 0.48728546 0.44955607 0.31910163
 0.28651415 0.5963015  0.51488829 0.16165632 0.01932547 0.26619619
 0.54750558 0.24945457]"
6,linear,7,10,-1.6284394847180277,3.6692980033260234,,,,,0.11624757225991118,0.06635749918451807,0.03993757430922033,eight_poly,0.0208042716108773,0.008651067390599893,0.002958274021288648,eight_poly,0.20260419625999207,0.21362708526617297,0.2510896444851625,linear,0.06446996145398705,0.0716582712632543,0.10434191575572574,linear,0.06412915871643038,0.06781355056103978,0.07005965037010566,linear,-7340.2244461367645,7336.9675671673285,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[-0.02017767  0.48692406  0.35131655  0.35947812  0.42731915  0.65320906
  0.43499739  0.76646579  0.46549648  0.64818699]","[-971.81541162 -793.08088777 -711.36919954 -654.79075976 -640.41140461
 -631.23111526 -620.89659433 -517.16250407 -495.93383974 -462.69975219
 -442.01821909 -411.56862351 -409.4224112  -359.36134836 -356.36007322
 -339.44612695 -284.97766534 -249.81796321 -204.01872118 -187.03426205
 -186.15601174 -182.72554997 -134.12298253 -107.76556193  -24.15701639
   11.4840349    14.15984657   88.24276717  128.99664048  170.69691788
  217.66234839  239.17347874  272.61225171  295.54126637  391.52842854
  394.73775123  431.89139892  555.69695372  583.64207901  585.71135595
  589.15670237  616.55602741  710.71282519  714.96899817  776.77286879
  796.41009203  843.73661097  929.97784822  950.44468487  964.98188995]","[ 0.50328407  0.56954289  0.04786911  0.545961    0.08010157  0.52544803
 -0.12992716  0.0914317   0.24877347  0.34270357  0.74539905  0.62310764
  0.79151137  0.71181164  0.34019409  0.34855675  0.69599849  0.44763837
  0.4097469   0.11944075  0.42684597 -0.24343049  0.35243987  0.22808605
  0.66710433  0.38320292  0.42127707  0.85883706  0.26998222  0.62183895
  0.08059885  0.58222565  0.6707195   0.78885306  0.37321131  0.67859867
  0.6875114   0.63411633  0.68341459  0.76231142  0.74675928  0.40513628
  0.37871283  1.30523732  1.17414129  0.35117905  0.82348859  0.88935373
  0.92544548  0.77634433]"
7,linear,8,10,-8.705200331169022,9.826930174636182,,,,,0.19208770257744162,0.191900131836272,0.039120831192063825,eight_poly,0.06248048781285862,0.04636075976130895,0.00283851490936811,eight_poly,0.24196802536166526,0.2596586628598127,0.35513455733996685,linear,0.09010495624067756,0.10493852868445401,0.18903703823317908,linear,0.08441290340435512,0.08571292042199764,0.09291577176347639,linear,-19662.565549603532,19645.155148941194,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[ 0.15512062  0.05185463  0.47010766  0.24479482 -0.20236821  0.22444325
  0.60139631  0.89133572  0.30520905  0.59688947]","[-943.01830102 -937.80584909 -912.93147248 -904.0148719  -894.01091466
 -883.2747077  -877.92663776 -784.98224763 -639.06298201 -623.61147994
 -601.00890772 -541.58994542 -508.96263963 -430.75223799 -319.24141847
 -298.68699514 -290.0942977  -271.24385926 -247.27356663 -242.8388135
 -235.06508546 -154.49467671 -132.23324758  -96.32750116  -60.42191983
  -24.19812164  -10.31383163   33.41271954   51.3388887    57.06698036
  105.5351931   112.81383134  142.35147837  247.340822    261.91840068
  288.46403976  336.91233518  407.03866221  416.9217401   494.00965806
  548.82026667  554.93750001  590.60233481  749.80510242  778.26217821
  822.03847931  901.50685612  958.96670836  961.8473515   990.10464468]","[ 0.22940747  0.08341417  0.40455808  0.27499649  0.35681375  0.09787759
  0.66465242  0.30366069  0.66362166  0.23434771  0.49725764  0.19475657
  0.13503203  0.21622436  0.40872297  0.37064489  0.81227818  0.14501298
  0.16559703  0.86433733  0.59342964 -0.00897639  0.59125896  0.5352513
 -0.05121649  0.40155986  0.4930578   0.69120381  0.75145864  0.53820344
  0.7847465   0.49163514  0.32121366  0.32828974  0.70114092  0.08257374
  0.75367998  0.3251164   0.51442441  0.74984789  0.94169029  0.15356413
  0.44610603  0.6997167   0.54554396  0.9209154   0.20377907  0.83019209
  0.84694188  0.75979626]"
8,linear,9,10,-3.765941645620372,3.375932118457394,,,,,0.15748728759653874,0.06852115420460896,0.007037901592189746,eight_poly,0.03792948449019686,0.006606958244271299,9.186739730428236e-05,eight_poly,0.20841826559077167,0.24575682449201955,0.27546728130270826,linear,0.06815700566730888,0.09428914625061129,0.11962355063873116,linear,0.06723428221540384,0.07849596520949534,0.07726362677777479,linear,-6755.630178560408,6748.098295269167,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.21237392 0.53443037 0.25156104 0.46305057 0.57082923 0.70915842
 0.95730452 0.80775234 0.84424775 0.38244073]","[-969.19296042 -925.77467101 -920.28014673 -917.04984085 -913.41812363
 -898.17523297 -895.37410713 -873.31311309 -836.75203457 -748.91378038
 -730.41376408 -613.16720197 -578.47099506 -529.85627182 -521.17791172
 -356.34240006 -348.38006677 -348.06558538 -328.67239767 -310.27731257
 -156.68422794 -139.05643451 -135.28881047  -91.88188788  -61.04194288
  -53.77609423  -27.11851366   24.12205505   72.01698948  210.233561
  227.86800477  234.92202403  312.40309549  340.70006387  387.71082275
  503.41544184  525.26419089  535.57795532  545.77120433  548.95453203
  646.0060813   682.84431359  695.40093647  727.658291    746.13629689
  779.65468289  887.78525557  903.55138607  904.94756339  946.97479465]","[ 0.40930275  0.84198574  0.06242722  0.01585758  0.21798201  0.53076822
  0.4073441   0.16239067  0.28181445  0.5720313   0.4855515   0.95392744
  0.60680392  0.45592774  0.52338709  0.32366835  0.16846173  0.45597289
  0.54047216  0.07360992  0.33023983  0.37292192  0.5325884   0.41191301
  0.59601369  0.51108404  0.75830225  0.0782386   0.93228541  0.90697689
  0.56954627  0.72131131  0.72973787  0.40085261  0.63809397  0.82039741
  0.70877024  0.89672468  0.66019183  0.65742638  0.46955058  0.57957657
  0.55892081  1.10828545  0.74666046  0.44505705  0.82159591  0.67788692
 -0.0372042   0.85670679]"
9,linear,10,10,1.7574301259237295,-4.717247115788608,,,,,0.18594826492174663,0.10151252565695038,0.03409790679227488,eight_poly,0.051475794428899824,0.017911004925257188,0.0021564056998832635,eight_poly,0.2107906438550077,0.265424037221484,0.3122130377000475,linear,0.06974527402836742,0.10951516457127619,0.1463884229741443,linear,0.06717546026579382,0.07956787686133043,0.08467146550190705,linear,-9432.73680145129,9436.25166170314,"[-1000.          -777.77777778  -555.55555556  -333.33333333
  -111.11111111   111.11111111   333.33333333   555.55555556
   777.77777778  1000.        ]","[0.98378694 1.1475764  0.67391636 0.22854614 0.44855248 0.63246869
 0.72163526 0.0776631  0.25791848 0.30833478]","[-949.04752844 -856.10555967 -839.87804546 -823.65263752 -801.11887417
 -769.9299759  -698.03853344 -646.64221386 -612.30446498 -602.81699389
 -532.46261479 -529.84472663 -511.10400126 -389.42340131 -358.87069201
 -339.21650728 -256.69084655 -253.18573653 -217.80175379 -144.66980061
 -143.1150481  -108.6540872  -102.52548235  -76.79583822  -36.60743396
  -17.78007739  169.09453223  199.27201685  227.05179934  237.20148512
  344.94530105  363.29067521  377.69051804  391.69226786  394.29705751
  408.62679677  449.83349444  458.79539651  503.28080816  506.14131174
  520.0035047   521.60491261  562.09164439  612.32632591  630.95385801
  641.49299725  686.98825213  729.37228953  808.20597183  942.16663925]","[ 0.84601146  0.94163229  0.4728596   0.60004359  0.95227134  0.79056622
  0.7866048   0.94299143  0.67908946  0.7827051   0.55447469  0.29620868
  0.30396153  0.61593599  0.53982749  0.42115333  0.64367629  0.34072855
  0.58228476  0.53128681  0.32578153 -0.04738795  0.88976322  0.59835827
 -0.15687963  0.39783786  0.5561733   0.39314682  0.58831958  0.19738273
  0.45755561  0.39580641  0.35981187  0.34681971  0.45136562  0.63102365
  0.25501168  0.28349114  0.41432105  0.34342718  0.4663997   0.54917146
  0.68227431  0.31780738 -0.22706296  0.32222062  0.41672054  0.27091817
  0.25963947 -0.34366879]"
